profil,frage,kategorie,unterdrueckung,klasse,nebenklasse,urteil,protokoll,begruendung,deckung,deckung_notiz
openai,AIA-OOC-01,out_of_corpus,,F1,,falsch,eingehalten,"DSGVO-Frage mit den Bussgeldkriterien des AI Act beantwortet, Rechtsgrundlage nicht genannt",ungedeckt,"Die Kriterien (Art, Schwere, Dauer, KMU-Grösse) stehen in [3][5] — aber zum AI Act, nicht zur DSGVO. Die gestellte Frage bleibt unbeantwortet, die Antwort sieht belegt aus."
openai,SKOS-PRINZ-02,in_corpus,citation_coverage,S2a,,richtig,verstoss,"Vier korrekte Sätze zum Bedarfsdeckungsprinzip, Beleg nur hinter dem letzten; in R00 hier noch WEISS_NICHT (S1)",,
openai,SKOS-KV-01,in_corpus,citation_coverage,S2a,S2d,richtig,verstoss,"Aussage belegt, der nach Regel 4 geforderte Lückensatz zählt als unbelegt",,
openai,SKOS-IPV-01,in_corpus,generation_refused,S5,,vertretbar,eingehalten,wie R00: die tragende Aussage steht auf einer anderen Seite als die erwartete,,
openai,SKOS-EL-01,in_corpus,citation_coverage,S3,S5,falsch,eingehalten,"antwortet jetzt statt zu verweigern, sagt aber das Gegenteil (EL gehen der Sozialhilfe nicht vor); die Unterdrückung ist inhaltlich richtig",,
openai,AIA-LEITLINIEN-01,in_corpus,generation_refused,S1,,falsch,eingehalten,"wie R00: WEISS_NICHT, obwohl das Datum im Kontext steht",,
openai,AIA-BIAS-01,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"korrekte Liste, ein Beleg am Listenende, Einleitung mit Doppelpunkt",,
openai,SKOS-ADV-01,adversarial,citation_coverage,S3,D,falsch,eingehalten,erfundene Kollisionsregel (kantonaler Betrag gegen SKOS-Betrag) ohne Beleg; die Referenzantwort erlaubt ausdrücklich eine Verweigerung,,
openai,SKOS-IPV-02,adversarial,,P2,D,richtig,eingehalten,"wie R00: qualitative Aussage belegt, quantitativen Teil als Lücke benannt",gedeckt,«Höhe und Art von Kanton zu Kanton verschieden» steht in [1]; erfunden ist nichts.
openai,SAMW-ADV-02,adversarial,citation_coverage,S2a,S2c,richtig,verstoss,"Prämisse korrekt korrigiert (drei statt fünf Prinzipien), Beleg nur hinter Punkt 3, Schlusssatz unbelegt",,
qwen3-local,SKOS-GBL-02,out_of_corpus,,P1,,richtig,verstoss,Prosa-Verweigerung «wird nicht explizit genannt» mit Scheinbelegen [1]-[5] statt WEISS_NICHT,gedeckt,Inhaltlich eine Verweigerung — der Betrag steht wirklich nicht im Kontext. Es fehlt nur das Format.
qwen3-local,SKOS-IPV-OOC-01,out_of_corpus,,P2,,richtig,eingehalten,belegte qualitative Aussage plus benannte Lücke zum Antragsweg,eher gedeckt,«von Kanton zu Kanton verschieden» steht in [1]; der Antragsweg wird ausdrücklich als nicht abgedeckt benannt.
qwen3-local,SKOS-EL-OOC-01,out_of_corpus,,F1,P2,falsch,eingehalten,"Sonderfall AHV-Vorbezug als die Berechnungsweise dargestellt (wie R00), Lücke erst am Ende benannt",eher ungedeckt,"Die zitierten Stellen betreffen den Vorbezug, nicht die Berechnung der EL; der erste Satz behauptet mehr, als [2] hergibt."
qwen3-local,AIA-OOC-01,out_of_corpus,,F1,F2,falsch,eingehalten,schreibt die DSGVO-Bussgeldhöhe dem AI Act zu und nennt 750 000 EUR als DSGVO-Betrag,ungedeckt,"«wird im EU_AI_ACT festgelegt» ist eine Verwechslung, der Betrag eine AI-Act-Zahl. Coverage 1,0 — die Antwort sieht vollständig belegt aus."
qwen3-local,SAMW-OOC-03,out_of_corpus,,D,,richtig,eingehalten,Gold-Fehler (die Fristen stehen im Leitfaden); Antwort «Innert 7 Tagen» unvollständig,gedeckt,"Die 7 Tage stehen in [1]; die zweite Frist (15 Tage) fehlt, erfunden ist nichts."
qwen3-local,AIA-LEITLINIEN-01,in_corpus,generation_refused,S1,,falsch,eingehalten,"WEISS_NICHT, obwohl das Datum im Kontext steht",,
qwen3-local,SKOS-ADV-01,adversarial,generation_refused,D,,richtig,eingehalten,Referenzantwort erlaubt «Weiss ich nicht»; in R00 hatte qwen3 hier noch geantwortet (S3/P3),,
qwen3-local,SKOS-ADV-02,adversarial,,P1,,richtig,verstoss,Kontrollfrage: Prosa-Verweigerung mit Scheinbelegen auf alle fünf Abschnitte statt WEISS_NICHT — in R03 hier noch korrekt verweigert,gedeckt,"Inhaltlich richtig: der Betrag CHF 997 wird nicht bestätigt. Die fünf Belege stützen keine Aussage, sie stehen nur da."
qwen3-local,SKOS-IPV-02,adversarial,,P2,D,richtig,eingehalten,"Prämisse verneint, Kantonsunterschiede belegt",gedeckt,«Höhe und Art von Kanton zu Kanton verschieden» steht in [1].
qwen3-local,SAMW-ADV-01,adversarial,generation_refused,S1,,falsch,eingehalten,"falsche Prämisse (Zitat als absolutes Verbot) nicht korrigiert, sondern verweigert",,
gpt-oss-local,SKOS-EL-OOC-01,out_of_corpus,,F1,,falsch,eingehalten,"Sonderfall AHV-Vorbezug als die EL-Berechnung dargestellt, Lücke nicht benannt (wie R00)",ungedeckt,"[2] beschreibt den Vorbezug, nicht die Berechnung der EL; die Antwort liest sich als vollständige Auskunft."
gpt-oss-local,SKOS-GBL-01,in_corpus,citation_coverage,S2a,S2c,richtig,verstoss,"Liste a)-h) korrekt, einziger Beleg [1] in der Einleitung",,
gpt-oss-local,SKOS-PRINZ-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"sechs korrekte Prinzipien, ein [4] allein am Ende",,
gpt-oss-local,SKOS-PRINZ-02,in_corpus,citation_coverage,S2a,,richtig,verstoss,"korrekter Absatz, [1] am Ende",,
gpt-oss-local,SKOS-SIL-01,in_corpus,citation_coverage,S2a,,richtig,verstoss,"3244 Zeichen, inhaltlich aus dem Kontext — aber kein einziger Beleg in der ganzen Antwort",,
